ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,Estimated_LenderProfit,AverageLoanAmount
CB&S Bank,3228,81,31940721.85,1202669.86,394329.89938271604
CBBC Bank,67211,22,6692272.0,248061.34,304194.1818181818
CBI Bank & Trust,25284,125,51379101.72,1780313.14,411032.81376
CBW Bank,26651,79,72647052.3,1822426.7,919582.9405063291
CCB Community Bank,26,45,16193307.06,624038.43,359851.26800000004
CDC Small Business Finance Corporation,188309,388,93592631.03,4329203.01,241218.1212113402
"CFBank, National Association",78932,186,113293280.0,3192948.4,609103.6559139785
CFCU Community CU,101339,10,3445098.5,131433.23,344509.85
CFG Community Bank,121508,235,193414142.69,5150151.33,823038.9050638297
CHROME FCU,108647,12,3681002.57,153941.58,306750.2141666667
CIBC Bank USA,116998,2233,2315311561.87,53710927.77,1036861.4249305866
CIBM Bank,20240,100,44619913.94,1487774.84,446199.1394
CLB The Community Bank,28324,18,14485574.8,334628.02,804754.1555555556
CME FCU,102804,7,1541035.0,77051.75,220147.85714285713
CNB Bank,45735,59,30803150.76,963846.54,522087.3010169492
CNB Bank,59954,618,252284580.11,8987678.76,408227.4759061489
"CNB Bank and Trust, National Association",20400,176,74476312.74,2446576.8,423160.86784090905
"CNB Bank, Inc.",74975,50,22593775.43,701011.11,451875.5086
CNB St. Louis Bank,41298,183,71984285.31,2572365.85,393356.75032786885
CODE CU,102795,4,1634454.5,61658.880000000005,408613.625
COREBANK,59501,3,641500.0,32075.0,213833.33333333334
"CRF Small Business Loan Company, LLC",484528,681,543709069.5,13965385.08,798398.0462555066
CS Bank,4277,26,9720198.52,359818.92,373853.7892307692
CSE FCU,97627,2,438100.0,21905.0,219050.0
CTBC Bank Corp. (USA).,5729,150,75511329.45,2600395.96,503408.863
CU Hawaii FCU,95234,4,1260238.0,53529.38,315059.5
CUSB Bank,24814,21,13768179.0,348778.13,655627.5714285715
Cache Valley Bank,72251,1666,815571348.46,26441924.3,489538.62452581036
Cadence Bank,39848,2548,1616686163.9,43616399.21,634492.2150313972
CalPrivate Bank,444953,450,233272873.54,7786630.73,518384.1634222222
Caldwell Bank & Trust Company,28174,23,7348943.8,299848.73,319519.2956521739
California Bank of Commerce,448557,543,447413006.6,11490967.35,823965.0213627993
California CU,92261,123,57188012.42,1985827.05,464943.1904065041
California FarmLink,518021,7,1559253.93,77962.7,222750.5614285714
"California International Bank, A National Banking Association",437143,47,21262983.12,787080.69,452403.89617021277
California Pacific Bank,11867,12,3083604.41,144219.68,256967.03416666668
California Statewide Certified Development Corporation,188095,11,2706497.75,125746.71,246045.25
Calvin B. Taylor Banking Company,30471,106,39072687.339999996,1446642.66,368610.25792452827
Cambridge Savings Bank,32698,474,323863115.57,9397185.78,683255.5180801688
Cambridge State Bank,36703,17,6568128.15,250430.89,386360.4794117647
Cambridge Trust Company,32708,547,267588061.4,8911339.81,489192.0683729433
Camden National Bank,29633,438,215516223.71,6751156.2299999995,492046.1728538813
Campbell County Bank,66528,3,878834.0,36550.86,292944.6666666667
Campus FCU,97595,14,5820523.0,221977.51,415751.64285714284
Campus USA CU,94328,2,471416.0,23570.800000000003,235708.0
Canton Co-Operative Bank,89294,9,2403278.76,101044.43,267030.9733333333
Canvas CU,93394,21,6341363.0,246738.55,301969.6666666667
"Canyon Community Bank, National Association",202881,62,41818909.29,1154666.73,674498.5369354838
CapStar Bank,457013,386,236569071.96,7141819.25,612873.2434196891
Cape Ann Savings Bank,32738,39,13919966.67,550860.34,356922.2223076923
"Cape Fear Farm Credit, ACA",528980,3,954014.6499999999,37451.63,318004.8833333333
Capital Area Realtors Federal Credit Union,108804,5,2093776.0,76684.01999999999,418755.2
Capital Bank,70460,136,53614212.85,1892632.1,394222.15330882353
"Capital Bank, National Association",124055,603,298936241.08,9832936.87,495748.3268325041
Capital CU,102482,9,3672780.0,140591.0,408086.6666666667
Capital City Bank,17652,371,154081214.63,5213912.9,415313.2469811321
Capital Community Bank,118477,132,51164980.160000004,1862948.55,387613.4860606061
Capital Educators FCU,96173,47,18495177.49,678075.66,393514.41468085104
"Capital Farm Credit, ACA",528981,10,4084909.79,148265.74,408490.979
"Capital One, National Association",28811,2179,1104076682.38,33835005.28,506689.6201835705
"Capital Plus Financial, LLC",529472,413,218651318.68,7504145.48,529422.0791283293
Capitol Bank,119487,73,35645034.98,1155462.41,488288.15041095886
Capitol Federal Savings Bank,78119,92,35511107.0,1334792.09,385990.29347826086
Capitol National Bank,35989,182,96908900.13,3120454.82,532466.4842307692
Captex Bank,72012,37,18753532.04,586490.88,506852.21729729726
Carmine State Bank,69148,8,1773000.0,81484.0,221625.0
Carolina Bank & Trust Co.,66176,135,59882242.23,2139894.22,443572.16466666665
Carolina Foothills FCU,105019,3,702925.0,35146.25,234308.33333333334
Carroll Bank & Trust,67225,18,5524343.2,217144.64,306907.9555555556
"Carroll County Trust Company of Carrollton, Missouri",40206,3,605044.0,30252.2,201681.33333333334
Carrollton Bank,20425,765,402436992.52,12370196.88,526061.4281307189
Carson Bank,26195,33,11296681.65,440465.49,342323.6863636364
Carson Community Bank,59507,13,7693570.12,213152.52,591813.0861538461
Carter Bank & Trust,445435,63,31126310.0,985112.66,494068.4126984127
Carter FCU,97605,189,90841695.85,3051075.46,480643.8933862434
Carthage Savings and Loan National Association,80931,3,6814900.0,98523.0,2271633.3333333335
Carver Federal Savings Bank,87076,60,48962562.81,1294287.98,816042.7135000001
