ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,Estimated_LenderProfit,AverageLoanAmount
Citizens Bank & Trust Co.,4818,35,13830269.06,500544.02,395150.54457142856
Citizens Bank & Trust Co. of Jackson,27151,13,7085252.68,258120.1,545019.4369230769
Citizens Bank & Trust Company,26851,24,9132218.07,343088.29,380509.08625
Citizens Bank & Trust Company,28192,3,793579.0,31678.95,264526.3333333333
Citizens Bank & Trust Company,29215,78,28873814.74,1095855.02,370177.112051282
Citizens Bank & Trust Company,41780,1,247752.87,12387.64,247752.87
"Citizens Bank & Trust Company of Vivian, Louisiana, Inc.",29351,5,1820258.0,71164.34,364051.6
Citizens Bank Minnesota,38679,40,21780875.78,644873.19,544521.8945
Citizens Bank and Trust,17113,244,101168445.1,3496466.13,414624.77499999997
Citizens Bank and Trust Company,73109,55,18803391.76,731938.65,341879.8501818182
Citizens Bank and Trust Company of Ardmore,58741,19,7020551.36,270467.49,369502.7031578948
Citizens Bank of Ada,58692,24,11381211.04,346890.82,474217.12666666665
Citizens Bank of Americus,17819,44,16677942.15,636584.79,379044.13977272727
Citizens Bank of Charleston,40229,5,1532849.3,56541.11,306569.86
Citizens Bank of Chatsworth,20474,24,8839425.3,351781.31,368309.3875
Citizens Bank of Cumberland County,124562,1,702319.75,21069.59,702319.75
Citizens Bank of Eldon,40440,3,540439.0700000001,27021.96,180146.3566666667
Citizens Bank of Kansas,26086,45,16533768.58,649960.63,367417.07955555554
"Citizens Bank of Kentucky, Inc.",27689,18,7832506.94,295341.6,435139.27444444445
Citizens Bank of Lafayette,67121,50,22593531.38,819287.64,451870.6276
Citizens Bank of Las Cruces,45799,157,62860041.33,2224903.75,400382.4288535032
"Citizens Bank of Morgantown, Inc.",110198,13,4443739.0,166158.71,341826.07692307694
Citizens Bank of Rogersville,41257,11,4001155.11,152659.56,363741.3736363636
"Citizens Bank of West Virginia, Inc",75110,45,14134007.02,588571.11,314089.0448888889
Citizens Bank of the Midwest,41161,10,2958586.28,122964.12,295858.62799999997
Citizens Bank of the South,19668,26,8113400.02,324140.58,312053.8469230769
"Citizens Bank, Inc.",3223,9,2025641.0,93837.59,225071.22222222222
"Citizens Bank, National Association",70644,27,12410346.68,393678.06,459642.46962962963
"Citizens Bank, National Association",434162,7824,4505772020.72,128836910.15,575891.1069427403
Citizens Business Bank,5095,2608,1491383788.8,45977061.77,571849.6122699386
Citizens Community Bank,19470,15,4185642.82,175149.19,279042.85466666665
Citizens Community Bank,41220,1,334738.0,16736.9,334738.0
Citizens Community Bank,117959,14,4755520.73,175891.88,339680.05214285717
Citizens Community Bank,118071,15,6458700.0,239971.0,430580.0
Citizens Community Federal National Association,108056,276,123723876.86,4142183.17,448274.9161594203
"Citizens Deposit Bank of Arlington, Inc.",26773,21,19749676.0,466088.28,940460.7619047619
Citizens Equity First CU,95448,72,22073598.07,875473.8200000001,306577.75097222225
Citizens First Bank,76846,7,2577088.52,94253.83,368155.5028571429
Citizens First Bank,117285,215,100559835.7,3408327.04,467720.1660465116
Citizens First Bank,124516,36,13920915.48,526545.5,386692.0966666667
Citizens First National Bank,25505,5,2740966.22,90206.37,548193.2440000001
Citizens Guaranty Bank,27140,6,3361428.92,120038.76,560238.1533333333
Citizens Independent Bank,38830,71,38963027.49,1216338.77,548775.0350704226
Citizens National Bank,68841,204,78999456.0,2929216.48,387252.23529411765
Citizens National Bank,69139,71,30060952.5,1108060.63,423393.6971830986
Citizens National Bank,69257,8,2382237.09,95111.86,297779.63625
Citizens National Bank at Brownwood,69110,11,5503582.0,190109.8,500325.63636363635
Citizens National Bank of Albion,20199,9,3009438.0,110428.12,334382.0
Citizens National Bank of Cheboygan,33683,53,21561907.9,789789.15,406828.4509433962
Citizens National Bank of Crosbyton,69261,2,630371.88,22153.84,315185.94
Citizens National Bank of Texas,72088,254,133239565.0,4100638.95,524565.2165354331
"Citizens National Bank, National Association",28121,162,66110423.18,2367228.3,408089.03197530867
Citizens Progressive Bank,28175,4,1006479.23,50323.96,251619.8075
Citizens Savings Bank,24548,1,424022.19,12720.67,424022.19
Citizens Savings Bank,25031,3,508014.0,25400.7,169338.0
Citizens Savings Bank,25493,1,874053.87,26221.62,874053.87
Citizens State Bank,21755,4,794510.0,39725.5,198627.5
Citizens State Bank,25086,2,369300.0,18465.0,184650.0
Citizens State Bank,25457,7,2346700.0,86755.0,335242.85714285716
Citizens State Bank,25633,1,171675.0,8583.75,171675.0
Citizens State Bank,36190,1,334295.0,16714.75,334295.0
Citizens State Bank,42716,14,4822413.5,193464.49,344458.10714285716
Citizens State Bank,69126,11,11062084.0,212392.84,1005644.0
Citizens State Bank,69246,6,1880357.2,78004.4,313392.86666666664
Citizens State Bank,71450,25,7280607.28,282805.57,291224.29120000004
Citizens State Bank,71873,41,14172815.97,541975.52,345678.4382926829
Citizens State Bank,71907,55,24786948.14,857799.78,450671.7843636364
Citizens State Bank,72197,8,2799760.89,105250.86,349970.11125
Citizens State Bank,75698,5,959448.3,47972.42,191889.66
Citizens State Bank,77103,44,15244681.98,617860.6,346470.045
Citizens State Bank Norwood Young America,38711,30,8596753.42,361011.35,286558.4473333333
"Citizens State Bank and Trust Co., Ellsworth, Kansas",25811,10,4754910.89,161648.53,475491.089
Citizens State Bank of Arlington,66407,4,1018235.0,50911.75,254558.75
Citizens State Bank of La Crosse,75723,66,30185695.1,1093053.54,457359.01666666666
Citizens State Bank of Lankin,52873,2,318602.0,15930.1,159301.0
Citizens State Bank of Loyal,76119,13,4097974.5,166312.22,315228.8076923077
Citizens State Bank of Luling,71354,1,317417.0,15870.85,317417.0
Citizens State Bank of New Castle,24059,107,52483016.42,1553552.94,490495.4805607477
Citizens State Bank of Roseau,38799,8,7796321.0,155538.93,974540.125
"Citizens State Bank of Waverly, Inc.",39010,2,680024.5,24172.89,340012.25
Citizens Tri-County Bank,66933,77,31978317.67,1200072.84,415302.8268831169
Citizens Trust Bank,17851,77,37425611.82,1284107.71,486046.90675324673
Citizens and Farmers Bank,74135,213,77203483.47,2942816.3,362457.6688732394
City & County CU,99616,19,4926321.89,239047.2,259280.09947368418
City Bank,71330,465,217711306.97,7133981.81,468196.3590752688
City Bank & Trust Co.,42145,27,13070030.85,462265.55,484075.2166666667
City Bank and Trust Company,28714,6,1261784.0,63089.2,210297.33333333334
City FCU,105550,1,165414.02,8270.7,165414.02
"City First Bank, National Association",123224,85,58537232.31,1483600.98,688673.3212941177
City National Bank,4924,7440,5078919101.76,138652787.29,682650.4169032258
City National Bank of Florida,17124,3451,2150508437.67,61628365.72,623155.1543523617
City National Bank of West Virginia,74995,184,83794419.92,2795958.21,455404.45608695655
City State Bank,25318,75,37532301.95,1291303.02,500430.6926666667
City of Boston CU,98296,3,1500000.0,48000.0,500000.0
Civista Bank,58322,617,274245120.33,9324960.92,444481.5564505672
Clackamas County Bank,59708,16,4718665.18,190857.67,294916.57375
"Clare Bank, National Association",76671,8,3322560.0,127082.8,415320.0
Claremont Savings Bank,42851,43,20993800.0,699830.0,488227.9069767442
Clark County CU,100585,17,5529274.0,224726.56,325251.4117647059
Clarkson Bank,42120,2,527020.0,26351.0,263510.0
"Classic Bank, National Association",69141,17,7804821.9,240860.25,459107.1705882353
Classic City Bank,531566,4,1920869.53,67197.33,480217.3825
Clay County Savings Bank,82979,12,3110872.0,140053.6,259239.33333333334
Clear Fork Bank National Association,68950,84,46101115.0,1509028.41,548822.7976190476
Clear Lake Bank & Trust Company,24776,70,39294157.67,1169824.93,561345.1095714286
"Clear Mountain Bank, Inc.",74988,70,32490200.97,1177838.1,464145.72814285714
Clearinghouse CDFI PPP,529371,39,13458863.1,516889.67,345099.05384615384
Clearpath FCU,92575,12,5136912.0,174009.74,428076.0
Clearview FCU,103879,16,8784083.12,291503.14,549005.195
Clearwater FCU,100451,12,5454747.0,203313.35,454562.25
Cleo State Bank,58857,2,580365.9,29018.3,290182.95
Cleveland State Bank,75724,18,8396535.73,295374.29,466474.20722222223
Clinton Savings Bank,32749,64,31417868.04,1060327.66,490904.188125
Co-op CU of Montevideo,99637,14,7693236.0,262527.52,549516.8571428572
CoBank ACB,194499,295,407647888.57,8014406.03,1381857.2493898305
CoVantage CU,107972,32,9494812.0,404794.58,296712.875
Coast Central CU,92064,49,14084237.0,558023.71,287433.4081632653
Coast360 FCU,110625,23,7402965.0,303116.95,321868.04347826086
CoastHills CU,93112,83,26232487.86,1038368.84,316054.07060240966
Coastal Bank & Trust,463909,19,5465321.98,226596.56,287648.5252631579
Coastal Carolina National Bank,465420,89,30507628.97,1175184.26,342782.34797752806
Coastal Community Bank,121424,1083,580597281.5,17936186.37,536100.906278855
Coastal Heritage Bank,89718,89,41389019.3,1389844.06,465045.16067415726
Coastal States Bank,382926,513,239784688.0,8242106.54,467416.54580896685
Coastal1 Credit Union,104790,59,20969588.71,833379.57,355416.7577966102
Cobalt FCU,100565,5,1452714.66,55677.36,290542.932
Coffee County Bank,67195,21,9397306.9,330763.31,447490.80476190476
Cogent Bank,123987,533,238204803.9,8128963.74,446913.32814258913
Colchester State Bank,21143,1,163000.0,8150.0,163000.0
Coleman County State Bank,69207,26,8259900.0,337655.0,317688.46153846156
Collins Community CU,96881,16,5180782.83,197015.82,323798.926875
Collins State Bank,75732,7,1643009.17,72183.24,234715.5957142857
"Colonial Savings, F.A.",88814,4,2114832.0,67522.06,528708.0
Colony Bank,19444,249,111020779.02,3717146.03,445866.58240963856
Colorado CU,109088,8,2187545.67,85262.18,273443.20875
Colorado Enterprise Fund,188439,49,10318163.48,515908.18,210574.7648979592
Columbia Bank,80189,666,428491409.22,12693568.9,643380.4943243244
Columbia Community CU,107714,74,32695333.0,1063310.17,441828.8243243243
Columbus Bank and Trust Company,42125,37,11697173.5,473749.4,316139.8243243243
Column National Association,440193,49,14394530.1,598123.53,293765.9204081633
Comerica Bank,33850,5186,4275550283.86,107996449.24,824440.8568954879
Commencement Bank,444842,246,130187443.04,4141993.53,529217.2481300813
Commerce Bank,38108,5,2155213.49,82163.17,431042.69800000003
Commerce Bank,40781,2051,1613857711.59,40136401.73,786863.8281764992
Commerce Bank,70698,37,13512900.0,508999.0,365213.5135135135
Commerce Bank,123411,3,850502.14,42525.11,283500.7133333333
Commerce Bank of Arizona,266621,137,72866484.47,2178095.97,531872.1494160584
CommerceOne Bank,520783,35,12998588.39,507104.87,371388.2397142857
CommerceWest Bank,238353,355,242083453.08,6949543.97,681925.219943662
Commercial Bank,26331,39,22321918.0,666481.18,572356.8717948718
Commercial Bank,27972,4,2589947.05,84817.61,647486.7625
Commercial Bank,33538,150,49216327.44,1883070.17,328108.84959999996
Commercial Bank,67045,50,21324100.0,746307.0,426482.0
Commercial Bank,112668,68,22569651.96,868090.78,331906.6464705882
Commercial Bank & Trust Company,4577,6,2582468.0,93723.56,430411.3333333333
Commercial Bank & Trust of PA,60898,19,10338600.0,310450.0,544136.8421052631
Commercial Bank and Trust Company,68760,150,62117797.22,2115051.08,414118.6481333333
Commercial Bank of California,323687,548,333700164.2,9986869.95,608941.9054744525
Commercial Bank of Mott,52909,1,309683.2,15484.16,309683.2
"Commercial Bank of Texas, N.A.",71501,180,70796148.33,2544294.02,393311.93516666663
Commercial Banking Company,120813,27,8350406.6,336873.46,309274.3185185185
Commercial Capital Bank,123497,5,1819342.0,62964.26,363868.4
Commercial National Bank of Texarkana,4803,51,17678431.82,698679.08,346635.91803921567
Commercial Savings Bank,24655,27,12214736.0,402497.26,452397.6296296296
Commercial State Bank,42702,18,5701485.0,223606.25,316749.1666666667
Commercial State Bank,71569,13,3930278.67,162303.36,302329.12846153846
Commercial State Bank of Wagner,66697,11,5754312.22,196439.51,523119.2927272727
Commercial Trust Company of Fayette,40474,4,2216318.25,77608.89,554079.5625
Commodore Bank,58334,5,928583.03,46429.15,185716.606
Commodore Perry FCU,109538,1,523000.0,15690.0,523000.0
Commonwealth Business Bank,433717,214,87962160.0,3162568.26,411038.1308411215
"Commonwealth Community Bank, Inc.",27076,1,212129.3,10606.47,212129.3
Commonwealth Cooperative Bank,84347,4,2589374.09,81903.34,647343.5225
"Communities Unlimited, Inc.",532950,1,150000.0,7500.0,150000.0
Community 1st Bank Las Vegas,45818,25,11435761.1,373844.78,457430.44399999996
Community 1st CU,96901,16,8516800.0,213264.0,532300.0
Community Bank,22864,7,1923269.72,80894.7,274752.8171428571
Community Bank,58726,12,3313370.35,145145.31,276114.19583333336
Community Bank,58800,2,445170.0,22258.5,222585.0
Community Bank,59602,45,17978705.0,643217.29,399526.77777777775
Community Bank,59928,179,78627814.64,2722083.49,439261.534301676
Community Bank,70837,17,6674949.18,250746.97,392644.0694117647
Community Bank,88774,35,14730503.92,520690.61,420871.54057142854
Community Bank,119326,31,17030414.51,496528.88,549368.2100000001
"Community Bank & Trust, Waco, Texas",72077,73,47183520.56,1295563.51,646349.5967123288
Community Bank & Trust-West Georgia,19515,24,13768068.26,431943.1,573669.5108333334
Community Bank Delaware,441170,49,14977962.51,627239.45,305672.7042857143
Community Bank Mankato,38968,70,22805145.55,880326.21,325787.79357142857
Community Bank Owatonna,317317,8,1769485.0,88474.25,221185.625
Community Bank and Trust,40528,11,5059700.0,181113.0,459972.7272727273
Community Bank and Trust Company,25290,2,404617.2,20230.86,202308.6
Community Bank of Cameron,75702,2,777255.8200000001,28962.79,388627.91000000003
Community Bank of El Dorado Springs,40443,4,1517607.0,58380.35,379401.75
Community Bank of Elmhurst,118126,56,22560139.7,829478.41,402859.6375
Community Bank of Georgia,378163,18,5828725.35,217688.98,323818.07499999995
Community Bank of Louisiana,28377,104,65643622.82,1957814.96,631188.6809615385
Community Bank of Marshall,41103,17,10546389.709999999,275064.28,620375.8652941176
Community Bank of Mississippi,39217,765,341741613.74,11429257.4,446721.0637124183
Community Bank of Missouri,224549,3,512784.0,25639.2,170928.0
Community Bank of Oelwein,123159,4,837552.22,41877.61,209388.055
Community Bank of Oklahoma,59473,2,1271244.65,41562.229999999996,635622.325
Community Bank of Parkersburg,75250,20,5260911.94,239714.97,263045.597
Community Bank of Pickens County,201331,72,23230077.07,899980.98,322639.95930555556
Community Bank of Pleasant Hill,444804,23,8153949.41,329485.47,354519.5395652174
Community Bank of Raymore,41249,30,17279085.37,506381.77,575969.5123333334
Community Bank of Santa Maria,223442,128,60284166.0,1934345.68,470970.046875
Community Bank of Trenton,22721,10,3456432.38,122888.53,345643.238
"Community Bank of Wichita, Inc",124014,30,9298852.46,371328.63,309961.7486666667
Community Bank of the Bay,120838,262,125247340.79,4187182.43,478043.2854580153
Community Bank of the Chesapeake,121705,315,137170006.44,4902192.93,435460.3379047619
Community Bank of the South,124287,63,27072300.21,904751.69,429719.050952381
"Community Bank, National Association",47029,1100,547929025.19,17256356.6,498117.2956272728
Community Banking Company of Fitzgerald,120271,18,7976288.25,296968.91,443127.125
"Community Banks of Colorado, A Division of",478121,1007,545232069.34,16928833.85,541441.97551142
Community CU of Florida,94142,40,12167495.93,480830.48,304187.39824999997
Community Choice CU,97091,1,168592.12,8429.61,168592.12
Community Choice CU,99304,86,30294212.0,1098038.6,352258.27906976745
Community Commerce Bank,110186,84,27029000.0,1078270.0,321773.8095238095
"Community Development Bank, FSB",38719,17,7165595.72,260221.6,421505.6305882353
Community Federal Savings Bank,225775,494,293443305.78,8506660.15,594014.78902834
Community Financial CU,99273,6,1374470.8900000001,61350.19,229078.4816666667
Community Financial Services Bank,26808,55,21759512.07,846328.03,395627.4921818182
Community First Bank,26068,38,18338989.9,603348.92,482604.997368421
Community First Bank,38378,3,764820.0,38241.0,254940.0
Community First Bank,40105,5,5242313.26,90510.48,1048462.652
Community First Bank,75659,42,18903310.58,576675.35,450078.8233333333
Community First Bank,76754,12,2795827.47,132777.84,232985.62250000003
Community First Bank,122608,222,112885777.22,3692905.38,508494.49198198196
Community First Bank,123984,83,29499604.68,1126883.08,355416.92385542166
Community First Bank of Indiana,317699,116,49825583.03,1683239.73,429530.8881896552
Community First Bank of the Heartland,22874,59,29680977.57,923680.3,503067.41644067795
"Community First Bank, Inc.",113041,23,5268474.17,255107.26,229064.0943478261
"Community First Bank, N.A.",57569,2,633656.52,22378.370000000003,316828.26
Community First Banking Company,122282,11,3698400.0,129930.0,336218.1818181818
Community First CU,109405,71,27339740.94,985537.86,385066.7738028169
Community First CU of Florida,94205,19,4666235.0,202377.75,245591.31578947368
Community First Capital Corp,445699,17,7720905.0,251911.25,454170.8823529412
Community First Guam FCU,95173,38,14510012.2,543930.07,381842.42631578946
Community First National Bank,222716,56,21622267.0,825936.21,386111.91071428574
Community National Bank,26432,78,39127781.16,1276720.23,501638.22
Community National Bank,71446,273,161791359.92,5005721.72,592642.344029304
Community National Bank,72972,230,108651106.0,3674401.3,472396.1130434783
Community National Bank & Trust,111871,131,85834839.27,2328980.69,655227.7806870228
Community National Bank & Trust of Texas,69248,128,71023043.48,2156482.55,554867.5271875
Community National Bank of Okarche,59099,6,2549105.0,89863.15,424850.8333333333
Community Neighbor Bank,1879,15,5261804.1,187916.8,350786.94
Community Partners Savings Bank,87968,1,211101.95,10555.1,211101.95
Community Resource Bank,38698,60,25213514.0,900587.9,420225.23333333334
Community Savings Bank,24953,44,28866405.08,766628.84,656054.6609090909
Community Service CU,105832,1,176150.0,8807.5,176150.0
Community Spirit Bank,3201,14,4645144.5,180682.45,331796.03571428574
"Community Star CU, Inc.",102696,2,500300.0,25015.0,250150.0
Community State Bank,4170,1,164400.0,8220.0,164400.0
Community State Bank,17613,14,4030009.6,167834.69,287857.8285714286
Community State Bank,21420,69,26798243.17,950737.88,388380.3357971015
Community State Bank,22924,75,26322755.0,998128.59,350970.06666666665
Community State Bank,22971,5,1726645.62,62710.76,345329.124
Community State Bank,24170,9,2606646.18,105062.4,289627.35333333333
Community State Bank,24536,32,22742515.0,703039.75,710703.59375
Community State Bank,24553,77,32859770.64,1119916.32,426750.26805194805
Community State Bank,25766,14,13591974.22,251744.83,970855.3014285715
Community State Bank,41415,3,490966.22,24548.309999999998,163655.40666666665
Community State Bank,58821,5,1377810.07,55390.5,275562.014
Community State Bank,76852,103,43226220.05,1546277.01,419672.03932038834
Community State Bank of Missouri,40164,36,22335500.0,740633.0,620430.5555555555
Community State Bank of Orbisonia,61191,11,4086870.0,150684.1,371533.63636363635
Community State Bank of Rock Falls,22426,7,1533600.0,76680.0,219085.7142857143
"Community Trust Bank, Inc.",27783,515,255411347.0,8128751.21,495944.3631067961
Community Valley Bank,450961,95,43690907.0,1447450.12,459904.2842105263
"Community West Bank, National Association",112922,201,89414797.58,3105765.48,444849.7392039801
CommunityAmerica CU,100353,48,16963613.24,643871.12,353408.60916666663
"Compeer Financial, ACA",317968,220,102023037.23,3290786.43,463741.07831818186
Concordia Bank,40303,15,4574180.81,185012.62,304945.3873333333
Concordia Bank & Trust Company,29338,32,15658546.25,541428.34,489329.5703125
Conneaut Savings Bank,79969,5,1236899.0,61844.95,247379.8
Connect Bank,4780,5,1138060.5699999998,56903.03,227612.11399999997
ConnectOne Bank,432941,1012,576214200.0,17657004.0,569381.6205533597
"Connecticut Community Bank, National Association",123396,253,114765691.3,3882741.33,453619.33320158103
Connection Bank,25013,56,32210230.0,1016117.5,575182.6785714285
Connections Bank,436693,2,472141.0,23607.050000000003,236070.5
Consolidated FCU,103656,1,169550.0,8477.5,169550.0
Consumers CU,99071,122,38433388.02,1568723.83,315027.7706557377
Consumers National Bank,57854,163,75517496.7,2537676.84,463297.5257668712
Consumers Professional CU,98795,2,846852.5,25405.57,423426.25
Continental Bank,352972,298,161115382.62,5063163.81,540655.6463758389
Conway Bank,25775,27,8336587.87,351372.54,308762.5137037037
"Cooperativa de Ahorro y Cr<ac,e>dito Dr. Manuel Zeno Gand<ac,i>a",109312,9,2734800.0,111188.0,303866.6666666667
"Cooperativa de Ahorro y Cr<ac,e>dito Jes\da\us Obrero",116736,4,1288947.0,48540.33,322236.75
"Cooperativa de Ahorro y Cr<ac,e>dito de Arecibo (COOPACA)",109303,1,280976.0,14048.8,280976.0
Coosa Valley CU,94977,19,4780969.5,203946.08,251629.97368421053
Copiah Bank,39286,2,726800.0,25928.0,363400.0
Copper State CU,91415,3,2258795.05,72738.85,752931.6833333332
CorTrust Bank National Association,66414,177,76739687.39,2676776.5,433557.5558757062
Core Bank,42044,160,74823885.29,2409165.34,467649.28306250006
CoreFirst Bank & Trust,26505,138,67309380.0,2129180.52,487749.1304347826
CorePlus FCU,93682,5,1661921.54,68932.22,332384.308
CornerStone State Bank,38310,10,4582815.0,170594.71,458281.5
Cornerstone Bank,33352,163,72147061.03,2486902.45,442620.00631901843
Cornerstone Bank,42727,94,57189800.0,1549405.68,608402.1276595745
Cornerstone Bank,52722,169,110062993.53,2965226.02,651260.3167455621
Cornerstone Bank,124111,40,16050701.21,584858.73,401267.53025
Cornerstone Bank,238669,48,21825084.83,743610.25,454689.26729166665
Cornerstone Bank,462675,29,11964306.57,450028.94,412562.2955172414
Cornerstone Community Bank,116677,76,29190408.73,1064110.37,384084.32539473684
Cornerstone Community Bank,444317,158,103426826.72,2763926.06,654600.169113924
Cornerstone Community FCU,101976,3,6363991.6,84062.14,2121330.533333333
Cornerstone Community Financial CU,99172,1,217018.82,10850.94,217018.82
Cornerstone National Bank & Trust Company,203014,540,272411305.49,9006351.57,504465.38053703704
Cornhusker Bank,42282,104,43182522.0,1499738.02,415216.5576923077
Corning FCU,101346,40,19851366.06,719417.59,496284.1515
Cottonwood Community FCU,96189,1,231127.0,11556.35,231127.0
Cottonwood Valley Bank,25740,2,803492.0,24104.75,401746.0
Coulee Bank,76066,125,60049285.89,2045764.37,480394.28712
Country Bank for Savings,33389,83,43844440.0,1368594.0,528246.265060241
Country Club Bank,41182,468,229606942.91,7440215.75,490613.12587606837
County Bank,25465,14,5943183.0,217982.09,424513.0714285714
County Bank,40177,12,4200731.58,162647.45,350060.965
County Bank,116651,71,25298822.47,948941.66,356321.4432394366
County National Bank,35318,300,156093697.69,5012621.29,520312.3256333333
Countybank,66123,139,54744967.15,2053997.52,393848.6845323741
Covington County Bank,39190,1,912100.0,27363.0,912100.0
Cowboy State Bank,77221,2,354417.0,17720.85,177208.5
Craft Bank,529925,6,2339679.0,90387.89,389946.5
Crawford County Trust & Savings Bank,24838,22,8534708.0,310329.4,387941.2727272727
Credit Human FCU,105993,42,20274469.77,719030.45,482725.4707142857
Credit Union 1,95499,1,218200.0,10910.0,218200.0
Credit Union One,98922,53,26947672.07,816526.12,508446.6428301887
Credit Union of America,97330,2,437895.57,21894.78,218947.785
Credit Union of Atlanta,94806,1,210108.5,10505.43,210108.5
Credit Union of Georgia,95061,20,6204685.88,248357.04,310234.294
"Credit Union of New Jersey, A FCU",100942,14,4127812.94,162310.01,294843.78142857144
Crescent Bank,117503,5,3021053.0,103527.61,604210.6
Crest Savings Bank,80150,49,12069204.39,535533.37,246310.2936734694
Crews Bank & Trust,16900,17,8985435.5,255848.14,528555.0294117647
Cross Bank,4860,24,10056976.21,350779.08999999997,419040.6754166667
Cross Keys Bank,29278,94,49596455.0,1625858.75,527621.8617021276
Cross River Bank,456756,9926,3382816214.85,131779295.42,340803.5678873665
CrossFirst Bank,450916,893,610742310.84,16713150.25,683921.9606270997
Crossbridge Community Bank,87266,9,2389137.0,99879.01,265459.6666666667
Crossroads Bank,21297,22,7791891.57,308274.86,354176.8895454546
Crossroads Bank,72200,27,11046700.0,361593.0,409137.037037037
Crossroads Bank,84342,28,10564442.0,393489.48,377301.5
Crown Bank,122482,51,21216497.11,748585.32,416009.747254902
Crown Bank,124519,97,50492342.15,1722728.42,520539.6097938144
"Crystal Lake Bank & Trust Company, National Association",122557,131,60305729.0,2020600.71,460349.0763358779
Cullman Savings Bank,86282,17,8325541.31,293197.26,489737.72411764704
"Cumberland Federal Bank, F.S.B.",81560,8,4057693.04,137121.12,507211.63
Cumberland Security Bank,27923,19,7229731.02,291350.7,380512.1589473684
Cumberland Valley National Bank & Trust Company,27235,88,38605151.64,1335554.06,438694.905
Currie State Bank,36763,1,495752.0,14872.56,495752.0
Custer Federal State Bank,79687,4,978982.0,48949.100000000006,244745.5
Customers Bank,121536,9309,3673049585.96,130156417.49,394569.7267117843
"Cypress Bank, SSB",90180,2,1505039.6,48625.28,752519.8
Cyprus FCU,106750,37,10327903.59,442775.6,279132.5294594595
D. L. Evans Bank,20132,637,259065078.0,9063190.66,406695.5698587127
DFCU Financial CU,99098,275,101192941.0,3759235.83,367974.33090909093
DNB National Bank,66490,12,3256756.0,135064.18,271396.3333333333
DR Bank,440858,157,76784036.0,2569204.47,489070.2929936306
Dacotah Bank,66384,308,169899321.0,5166202.55,551621.172077922
Dairy State Bank,76724,42,21350112.16,630800.5700000001,508336.0038095238
"Dakota Community Bank & Trust, National Association",52846,85,42186049.59,1328016.87,496306.4657647059
Dakota Heritage Bank,52856,8,3571505.0,135463.25,446438.125
Dakota Prairie Bank,66495,2,586420.0,29321.0,293210.0
Dakota West Credit Union,102541,3,639651.0,31982.550000000003,213217.0
Dakota Western Bank,52938,31,16406630.18,464565.56,529246.1348387097
Dakotaland FCU,105029,4,1206600.0,52330.0,301650.0
"Dallas Capital Bank, National Association",69884,151,102941311.0,2762111.81,681730.536423841
Dannemora FCU,101375,11,2459593.0,115620.39,223599.36363636365
Danville State Savings Bank,24823,2,477474.0,23873.7,238737.0
Davis Trust Company,75114,16,6357051.8,235014.83000000002,397315.7375
Day Air CU Inc,102836,13,3700175.4,159818.57,284628.8769230769
Dayspring Bank,42200,88,50614994.9,1614101.37,575170.3965909091
De Witt Bank & Trust Co.,24909,26,13939944.0,440084.32,536151.6923076923
DeMotte State Bank,23051,35,13242280.18,516307.87,378350.8622857143
Dean Co-Operative Bank,89080,46,13630273.0,567873.73,296310.2826086957
Dearborn Federal Savings Bank,84397,1,312500.0,15625.0,312500.0
Decatur County Bank,66917,27,11848937.040000001,382949.4,438849.52
Decorah Bank & Trust Company,24832,59,33344046.91,927774.13,565153.3374576272
Dedham Institution for Savings,32760,135,64132169.95,1971702.64,475053.1107407408
Dedicated Community Bank,110351,17,7732709.53,272627.13,454865.2664705883
Deerwood Bank,36772,207,112639514.5,3508212.29,544152.2439613526
Del Norte Bank,81305,29,8316589.85,340383.86,286778.96034482756
Del-One FCU,93776,3,1287769.85,38633.09,429256.6166666667
Delta Bank,28357,29,16185196.4,530165.48,558110.2206896552
Delta Community CU,94912,38,11368623.33,475879.11,299174.29815789475
Denali State Bank,3495,91,36560654.53,1314379.96,401765.4343956044
Denver Community Credit Union d/b/a Zing Credit Union,93370,1,345000.0,17250.0,345000.0
Denver Savings Bank,24840,16,4523668.0,192172.16,282729.25
Deseret First FCU,106855,13,3714421.0,151168.63,285724.6923076923
Desert Financial CU,91239,86,32233508.97,1157771.39,374808.2438372093
Desert Valleys FCU,92871,9,3057068.0,109256.86,339674.22222222225
Devon Bank,20543,47,20561462.330000002,726717.0,437477.92191489367
Dewey Bank,21207,2,647567.0,32378.35,323783.5
Diablo Valley FCU,93144,2,300000.0,15000.0,150000.0
Diamond Bank,4604,29,11014339.55,413037.34,379804.8120689655
Dieterich Bank,21209,32,10433676.87,423811.24,326052.4021875
Digital FCU,109589,101,42764753.0,1437051.17,423413.396039604
Dime Bank,16432,101,48109900.0,1599169.0,476335.64356435643
Dime Community Bank,46104,1676,1069477140.19,29474061.66,638112.8521420048
Directions CU,103351,11,2435916.95,113875.63,221446.99545454548
Discovery FCU,104686,2,498493.78,24924.690000000002,249246.89
Diversified Members CU,98833,1,509450.0,15283.5,509450.0
Dogwood State Bank,233057,402,239318684.35,7106533.91,595320.1103233831
"Dollar Bank, A Federal Savings Bank",88967,797,479647439.7,14259638.24,601816.1100376411
Dominion Bank,70073,153,141752751.52,3322415.42,926488.5720261439
