,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
3871,The Ephrata National Bank,60158,180,68033429.36,2550353.25,377963.49644444446
512,Benworth Capital,529192,207,67613162.44,2718826.49,326633.6349758454
3718,"Texas Gulf Bank, National Association",69962,123,67563315.9,2126955.32,549295.2512195122
2059,"Golden Bank, National Association",70400,200,67509311.39,2632835.44,337546.55695
1226,Eastern Michigan Bank,33734,149,67379900.0,2293043.0,452214.0939597315
755,Chesapeake Bank,73496,159,67363695.19,2184655.28,423671.0389308176
1079,CoreFirst Bank & Trust,26505,138,67309380.0,2129180.52,487749.1304347826
4327,US Metro Bank,444026,182,67208315.21,2379134.06,369276.45719780214
4211,The Victory Bank,453247,180,67151422.0,2488183.1,373063.4555555555
1725,First National Bank of Gillette,77189,116,66940286.02,2037477.5,577071.4312068966
3029,Pentucket Bank,32855,151,66877368.37,2239538.26,442896.4792715232
1447,Farmers and Merchants Trust Company of Chambersburg,59936,141,66597869.21,1966067.73,472325.3135460993
4383,United FCU,99541,187,66331742.01,2514872.8,354715.1979144385
836,"Citizens National Bank, National Association",28121,162,66110423.18,2367228.3,408089.03197530867
4344,Union Bank,72996,134,65902819.0,2054626.73,491812.08208955225
527,Blue Foundry Bank,85732,110,65854687.33,1865102.06,598678.9757272727
980,Community Bank of Louisiana,28377,104,65643622.82,1957814.96,631188.6809615385
2627,Mechanics Cooperative Bank,89240,140,65625694.15,2152035.42,468754.9582142857
3807,The Citizens Bank,45784,122,65562711.24,2076708.0,537399.2724590164
9,1st Colonial Community Bank,124545,140,65544447.47,2119434.39,468174.62478571426
2469,Lea County State Bank,45791,99,65264322.11,1933068.08,659235.5768686868
3474,Skyline National Bank,73473,149,64754799.67,2199659.0,434595.97093959735
3143,"Planters Bank, Inc.",120955,115,64726429.99,1818128.95,562838.521652174
3616,Stearns Bank National Association,36581,78,64672735.11,1510076.74,829137.6296153846
2780,Navy FCU,93956,206,64594321.0,2597079.11,313564.6650485437
2714,Minster Bank,57861,132,64584162.6,2094077.72,489273.9590909091
2900,Oak Bank,124767,136,64448296.0,2196802.24,473884.5294117647
