,DateApproved,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,Not Available,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
180,2021-03-28,3,11,3,0,14,190,13,6,4,2,76,25,1,7,12,1,34,9,4,9,8,24,25,3,25,28,7,0,6,6,21,2,1,1,40,8,11,103,0,25,3,16,25,5,1,17,0,24,90,7,17,2,5,25,15,3,0
181,2021-03-29,0,5,1,0,4,66,4,2,3,2,22,17,0,0,2,0,17,7,0,1,6,3,6,0,8,3,6,0,1,1,6,0,1,1,14,2,3,43,0,22,2,5,23,14,2,2,1,4,26,1,5,2,0,11,0,2,0
182,2021-03-30,4,11,8,0,13,142,24,22,5,6,102,48,0,11,10,1,40,20,5,9,18,36,26,8,20,27,16,0,5,1,36,2,3,4,46,5,8,121,0,28,14,13,52,4,6,13,1,17,97,13,21,1,1,29,16,7,3
183,2021-03-31,9,27,20,0,79,823,69,44,21,12,402,132,6,16,10,11,136,48,25,21,59,80,84,6,128,62,44,3,19,2,113,4,9,11,263,18,44,588,0,161,29,50,163,38,17,59,5,71,347,38,93,11,3,109,48,12,6
184,2021-04-01,8,10,10,0,27,223,26,14,9,2,116,55,3,8,6,8,43,15,7,14,26,41,24,5,41,33,20,0,11,6,34,2,3,5,46,6,13,138,0,41,19,17,44,2,3,17,4,22,125,12,29,2,4,37,14,6,1
185,2021-04-02,2,14,9,0,27,197,19,22,11,5,96,43,0,2,12,7,44,13,11,8,19,37,23,3,21,16,22,0,8,4,27,8,6,4,41,5,8,127,0,24,18,11,49,6,5,13,1,11,109,13,28,1,2,40,14,2,3
186,2021-04-03,2,13,4,0,19,160,11,11,13,4,80,35,0,2,7,4,34,7,9,5,10,26,11,4,33,13,25,0,5,4,30,3,2,2,30,9,11,101,0,32,8,13,32,0,5,5,0,10,101,14,35,1,0,28,12,8,2
187,2021-04-04,2,2,1,0,4,59,9,3,4,1,25,15,0,2,1,1,5,1,1,0,3,5,4,0,3,4,4,0,3,2,6,1,0,0,8,2,4,24,0,2,1,3,10,0,1,3,0,8,14,2,4,0,0,8,6,1,0
188,2021-04-05,0,0,0,0,3,10,3,1,1,0,5,3,0,0,1,0,2,1,0,0,1,3,1,0,0,1,0,0,1,0,2,2,0,0,6,0,0,5,0,1,0,1,2,8,1,1,0,2,10,0,0,0,1,1,0,2,0
189,2021-04-06,1,7,6,0,8,85,11,6,14,2,56,37,0,5,3,3,22,12,1,6,9,17,10,1,13,9,13,0,7,0,17,0,4,7,25,1,9,66,0,18,2,6,33,3,1,4,0,9,45,6,20,0,1,13,9,1,1
190,2021-04-07,6,13,2,0,22,117,12,13,5,2,69,29,0,1,5,3,35,11,8,4,10,20,19,4,11,9,11,0,9,1,13,1,3,2,36,3,10,66,0,18,7,11,36,1,2,10,1,20,79,4,13,0,2,24,15,4,3
191,2021-04-08,1,8,2,1,23,157,14,9,6,3,73,29,1,3,6,4,28,13,8,8,10,22,11,5,24,10,11,0,4,2,34,1,4,4,35,4,12,94,0,32,3,9,33,3,1,17,1,22,89,9,26,0,2,25,10,2,1
192,2021-04-09,0,6,8,0,25,155,21,13,9,0,84,28,4,2,11,5,29,8,8,6,12,38,24,4,24,22,22,0,5,3,19,1,2,2,33,7,8,133,0,41,8,7,46,6,4,8,4,25,88,8,17,2,0,31,5,5,1
193,2021-04-10,2,8,4,0,8,94,15,12,6,1,63,12,0,2,6,2,29,7,7,5,8,14,13,6,12,6,5,0,4,0,9,4,0,3,19,2,11,74,0,26,6,7,22,1,2,10,0,7,52,7,9,1,0,17,7,3,2
194,2021-04-11,3,7,1,0,7,88,4,7,4,3,50,17,0,4,7,3,7,5,5,7,4,10,11,0,6,14,6,0,4,2,9,2,1,3,11,1,5,45,0,17,4,7,23,2,0,2,1,21,48,6,9,0,0,12,9,0,0
195,2021-04-12,0,0,1,0,0,6,3,1,0,0,10,2,0,0,0,0,4,1,0,1,1,3,1,0,2,1,2,0,0,0,3,1,1,0,7,0,2,9,0,2,0,0,6,0,1,0,0,3,6,0,6,0,0,1,3,0,0
196,2021-04-13,1,6,2,0,5,93,6,9,4,3,47,25,1,2,6,4,28,12,5,6,6,21,13,3,13,26,10,0,3,1,19,3,3,4,31,5,7,79,0,21,4,4,23,5,2,5,7,11,59,10,13,0,2,11,5,0,0
197,2021-04-14,0,4,1,0,8,123,15,10,9,3,62,24,0,6,5,4,31,11,3,6,14,28,14,2,19,14,7,0,8,1,22,2,4,13,28,3,16,81,0,27,3,7,42,0,1,7,0,13,96,7,15,0,2,20,10,2,3
198,2021-04-15,1,12,4,0,17,129,15,17,4,3,57,31,0,2,7,6,30,11,5,6,17,18,10,1,24,19,12,0,2,0,20,1,2,2,46,4,8,100,0,19,5,13,25,4,2,13,1,4,60,11,25,0,1,20,10,2,1
199,2021-04-16,1,10,3,0,15,138,12,3,3,1,58,24,2,1,11,2,21,7,6,8,10,20,19,2,19,16,10,0,6,0,13,1,5,4,25,2,7,70,0,26,5,6,34,6,4,6,2,5,60,9,18,2,0,19,14,2,1
200,2021-04-17,4,5,3,0,14,101,13,6,1,2,53,20,0,2,1,0,28,10,6,6,7,18,9,3,15,5,12,0,3,1,9,0,2,5,33,4,6,64,0,20,4,14,26,1,5,6,0,12,61,4,12,0,1,15,7,0,0
201,2021-04-18,1,2,0,0,6,35,5,1,1,0,17,12,0,1,2,0,9,2,4,1,1,3,2,0,6,3,2,0,2,0,1,0,0,1,9,0,1,19,0,6,0,3,10,0,1,1,0,3,16,1,2,0,0,2,2,0,0
202,2021-04-19,0,0,0,0,3,11,1,0,0,0,4,1,0,0,0,0,6,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,1,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0
203,2021-04-20,3,4,2,0,11,98,6,9,5,2,43,19,0,2,3,0,28,4,6,7,10,20,10,2,16,8,11,0,3,0,12,0,2,3,33,0,11,69,0,15,9,4,28,14,1,7,3,11,44,4,8,0,2,8,9,1,0
204,2021-04-21,2,8,5,0,15,132,11,9,9,3,61,33,2,2,4,0,23,18,3,5,8,11,15,0,23,8,13,0,2,2,15,2,2,5,32,1,6,93,0,28,6,9,19,2,0,10,1,8,61,7,20,0,1,20,8,1,2
205,2021-04-22,0,4,1,0,8,64,3,4,5,0,29,15,0,0,4,0,13,4,7,5,4,5,10,1,16,21,5,0,1,1,9,1,0,1,25,3,4,53,0,10,4,6,19,1,2,7,0,4,37,2,10,1,1,17,5,4,1
206,2021-04-23,2,15,4,0,18,126,15,13,1,6,76,30,1,5,4,3,18,9,3,8,10,17,24,3,19,16,13,0,3,2,26,1,4,4,41,4,7,99,0,39,3,15,38,7,2,14,3,7,101,7,20,1,1,21,6,2,3
207,2021-04-24,2,8,3,0,7,103,15,5,5,2,63,24,0,1,2,3,16,14,1,11,12,17,19,0,18,8,7,0,0,2,14,1,2,1,25,2,4,65,0,13,0,6,22,4,0,7,2,17,48,3,19,1,0,10,8,2,0
208,2021-04-26,0,1,1,0,4,61,4,2,3,0,24,9,0,1,2,3,7,2,3,2,0,7,3,0,7,5,9,0,0,2,11,0,3,0,10,2,3,21,0,9,5,4,7,3,0,4,1,6,21,1,4,1,0,7,3,0,2
209,2021-04-27,1,4,1,0,10,93,6,6,3,0,37,18,0,2,2,0,21,10,4,3,4,12,9,1,11,11,9,0,2,0,14,2,2,1,15,1,2,59,0,10,0,5,19,1,1,5,0,4,48,4,13,0,0,12,4,3,2
210,2021-04-28,1,4,6,0,16,102,6,8,5,6,57,16,0,2,5,1,23,9,4,5,8,20,13,1,26,7,13,0,2,2,18,5,4,7,28,2,12,64,0,13,4,9,21,1,3,12,2,8,46,6,11,1,1,19,7,2,1
211,2021-04-29,3,1,5,0,8,87,6,8,2,4,45,23,0,4,2,5,20,10,6,4,6,7,15,1,18,11,8,0,1,1,10,0,1,2,26,3,6,54,0,22,2,11,17,2,2,10,2,10,41,4,19,1,1,19,6,1,3
212,2021-04-30,2,5,3,0,10,93,9,4,5,5,32,13,0,1,7,2,19,10,0,3,9,16,7,1,19,8,11,0,7,1,18,3,2,1,29,7,8,69,0,24,5,9,19,1,3,10,0,14,53,3,12,0,1,11,2,1,2
213,2021-05-01,0,6,1,0,10,82,6,9,4,5,51,22,0,0,3,0,13,7,2,8,6,9,14,0,10,7,7,0,5,1,8,2,2,2,29,0,9,47,0,24,4,6,20,1,2,7,3,8,57,5,9,0,2,11,6,2,0
214,2021-05-02,1,0,2,0,2,53,2,3,0,0,14,9,0,0,1,1,5,7,4,2,2,12,3,1,5,4,1,0,4,0,2,0,0,1,6,0,2,15,0,3,2,7,8,2,1,4,0,6,22,1,4,0,0,5,4,0,0
215,2021-05-03,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,2,0,0,0
216,2021-05-05,1,5,2,0,8,57,7,4,5,3,47,11,0,0,1,2,11,4,3,4,5,6,11,0,15,2,4,0,3,0,20,0,0,3,23,1,5,41,0,12,2,3,12,4,1,9,0,6,34,6,8,0,3,9,2,5,1
217,2021-05-07,2,6,3,0,9,97,11,11,4,1,50,14,0,1,5,3,18,5,11,1,10,15,17,0,17,18,8,0,2,1,14,0,2,2,23,1,2,64,0,14,3,9,19,4,5,3,3,6,49,5,14,1,0,25,6,2,2
218,2021-05-11,1,5,2,1,6,78,5,6,0,0,36,25,0,2,3,2,7,8,2,6,1,14,6,1,7,7,7,0,3,0,13,2,6,2,19,4,5,44,0,14,3,7,14,0,1,6,1,3,42,2,4,0,1,8,5,1,1
219,2021-05-12,0,13,6,0,3,66,5,3,5,1,43,14,1,2,1,4,13,0,1,0,11,9,4,1,7,6,6,0,13,5,9,1,1,0,16,3,6,48,0,9,3,4,11,6,0,2,0,3,26,1,4,0,0,6,1,4,1
220,2021-05-13,0,1,0,0,0,17,2,1,3,0,10,3,2,0,0,0,8,0,1,0,2,0,1,0,1,2,2,0,3,0,2,0,2,0,0,0,0,11,0,2,1,1,3,2,0,0,0,1,15,1,1,0,0,2,2,2,0
221,2021-05-14,0,11,0,0,3,22,1,2,1,1,12,4,0,0,1,2,6,0,1,0,1,4,2,0,3,1,2,0,2,1,1,1,1,0,4,1,1,15,0,4,0,1,2,3,0,1,0,4,7,0,2,0,1,1,0,0,0
222,2021-05-15,1,4,2,0,3,10,1,1,0,1,16,7,1,1,0,3,3,0,1,2,2,4,3,1,5,1,0,0,1,0,3,0,0,0,2,4,1,18,0,3,0,2,6,5,0,2,0,1,7,0,1,0,0,1,2,0,0
223,2021-05-16,0,0,0,0,0,5,1,0,0,0,4,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,0,2,1,1,4,2,0,0,0,0,1,0,0,0,0,3,0,0,0
224,2021-05-17,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
225,2021-05-18,6,6,2,0,12,142,18,16,10,5,96,49,0,6,8,1,27,17,6,11,14,41,33,3,34,13,12,1,5,1,35,1,24,2,32,6,11,127,0,34,11,11,38,1,4,9,4,9,95,11,18,2,1,23,6,5,2
226,2021-05-19,0,0,0,0,3,11,3,0,1,0,6,6,0,0,0,3,1,1,1,0,3,4,1,0,1,2,0,0,2,0,2,1,1,0,3,1,1,6,0,1,2,1,3,0,0,0,0,0,6,0,3,0,0,5,1,0,0
227,2021-05-20,0,3,0,0,2,20,1,0,1,0,14,3,1,0,1,0,2,1,2,0,2,2,1,0,3,3,2,0,1,0,10,0,0,0,5,1,3,6,0,4,0,2,7,5,0,3,0,3,12,0,3,0,0,2,2,0,0
228,2021-05-21,0,4,0,0,2,28,2,2,1,1,17,4,0,0,0,1,7,1,0,2,7,3,5,0,3,0,1,0,1,0,7,1,1,0,7,0,1,16,0,4,0,1,4,1,2,4,0,2,12,4,4,0,0,3,0,0,0
229,2021-05-22,0,0,0,0,3,32,2,0,0,0,8,3,0,1,0,0,1,1,0,1,0,0,0,0,3,1,1,0,1,0,1,0,0,0,3,0,1,12,0,0,0,1,1,0,0,1,0,1,8,0,2,0,0,2,0,1,1
230,2021-05-23,2,1,0,0,3,27,1,1,0,0,11,5,0,1,1,1,1,1,1,0,2,1,0,0,5,3,1,0,2,1,3,0,0,0,3,2,2,14,0,2,0,1,6,1,0,1,0,5,10,0,3,0,0,2,0,0,0
231,2021-05-25,0,0,0,0,1,32,1,1,2,0,8,4,1,0,0,0,4,0,1,1,0,2,1,0,3,1,1,0,1,0,5,0,0,0,14,0,1,15,0,4,9,1,7,0,0,0,1,1,11,1,2,0,1,1,0,0,0
232,2021-05-26,0,5,0,0,3,39,8,0,2,0,23,8,0,2,0,0,7,2,0,1,2,1,6,0,6,1,2,0,1,1,4,0,3,0,6,0,3,23,0,2,1,1,6,0,0,3,1,2,17,0,5,0,0,6,2,0,1
233,2021-05-27,0,1,1,0,6,62,8,3,2,0,19,4,0,1,1,0,12,1,1,0,4,7,9,1,6,5,4,0,1,0,3,0,0,1,12,1,1,39,0,13,2,4,8,2,1,1,0,3,33,2,3,0,0,1,1,3,0
234,2021-05-28,0,1,0,0,1,21,2,0,1,1,18,7,1,2,0,0,2,2,1,1,3,2,1,0,5,1,3,0,3,0,2,0,1,0,10,0,1,25,0,8,0,1,8,0,1,0,0,1,12,1,7,0,1,1,0,1,1
235,2021-05-29,0,2,0,0,1,26,2,1,1,1,12,4,0,2,0,1,4,2,1,1,2,4,1,0,4,4,2,0,13,0,3,2,1,1,8,0,1,21,0,3,2,0,5,6,0,1,0,3,13,1,2,0,0,3,0,0,0
236,2021-06-15,1,0,1,0,2,25,6,1,1,0,15,5,1,0,0,0,6,1,2,0,2,3,4,0,1,4,1,0,0,0,2,0,0,0,8,1,2,21,0,4,1,0,3,0,0,0,0,3,11,0,1,0,0,0,1,0,0
237,2021-06-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2021-06-22,0,0,2,0,3,14,3,2,0,2,13,4,0,0,0,0,4,2,0,0,1,1,8,0,6,2,3,0,0,1,3,0,0,0,12,1,0,24,0,0,0,0,10,4,0,2,0,4,14,1,2,0,0,2,0,1,0
239,2021-06-29,0,0,0,0,1,8,0,1,0,2,9,3,0,0,0,0,3,1,1,2,5,1,3,0,5,0,2,0,0,0,1,0,0,0,1,0,1,8,0,2,1,0,1,2,0,0,0,0,11,0,1,0,0,1,2,0,0
240,2021-06-30,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0
241,2021-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
